               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044121,            0.043405,            0.010154,             0.67509,             0.60385,             0.68452,             0.44949,            0.041228,            0.026501,           0.0063663,              0.0937,              0.0007,              0.0007
                   1,            0.041881,            0.042658,           0.0097701,             0.73708,             0.62486,             0.70893,             0.47746,            0.040342,            0.025683,           0.0055747,            0.086496,           0.0014955,           0.0014955
                   2,             0.04317,            0.048924,           0.0097026,             0.80398,             0.63617,             0.74396,               0.485,            0.040006,            0.025073,           0.0049756,            0.079286,           0.0022862,           0.0022862
                   3,            0.043472,            0.042066,           0.0085419,             0.79193,             0.66371,             0.76103,              0.4923,             0.04032,            0.024659,           0.0045423,            0.072072,           0.0030721,           0.0030721
                   4,            0.043151,            0.040859,           0.0082024,              0.7588,             0.68572,             0.76027,             0.48011,            0.041769,             0.02402,           0.0041316,            0.064853,           0.0038532,           0.0038532
                   5,            0.043465,            0.038446,           0.0088916,             0.81865,             0.67292,             0.77675,             0.47873,            0.043562,            0.023214,           0.0037916,             0.05763,           0.0046295,           0.0046295
                   6,            0.044376,            0.034373,           0.0085765,             0.77879,             0.71764,             0.78746,             0.49117,            0.043414,            0.022384,           0.0035016,            0.050401,            0.005401,            0.005401
                   7,            0.047582,            0.040579,           0.0069603,             0.72586,              0.6944,             0.76216,             0.45819,            0.048142,             0.02181,           0.0033028,            0.043168,           0.0061677,           0.0061677
                   8,            0.045917,            0.039957,           0.0075718,              0.7421,             0.73005,             0.80337,             0.50645,             0.04309,            0.021778,           0.0031122,             0.03593,           0.0069296,           0.0069296
                   9,            0.045639,            0.036826,           0.0066022,             0.72295,             0.72003,             0.77189,             0.48537,             0.04669,            0.021382,           0.0030031,            0.028687,           0.0076867,           0.0076867
                  10,            0.048941,            0.040486,           0.0065247,             0.72413,              0.7476,             0.80216,              0.5164,             0.04398,            0.020927,           0.0029913,            0.021439,            0.008439,            0.008439
                  11,            0.045019,            0.035636,           0.0063519,             0.74692,             0.80378,             0.83007,             0.54368,            0.042872,            0.020862,            0.003023,            0.014186,           0.0091865,           0.0091865
